Source,Target,Label,JsType
6773,7748,"./modules/es6.array.filter","cjs require"
9461,7748,"./modules/es6.array.some","cjs require"
5931,7748,"./modules/es6.array.every","cjs require"
4007,7748,"./modules/es6.array.reduce","cjs require"
5962,7748,"./modules/es6.array.reduce-right","cjs require"
8390,7748,"./modules/es6.array.index-of","cjs require"
8983,7748,"./modules/es6.array.last-index-of","cjs require"
6748,7748,"./modules/es6.array.copy-within","cjs require"
1820,7748,"./modules/es6.array.fill","cjs require"
8909,7748,"./modules/es6.array.find","cjs require"
2562,7748,"./modules/es6.array.find-index","cjs require"
4052,7748,"./modules/es6.array.species","cjs require"
1006,7804,"./es6.array.iterator","cjs require"
1006,1006,"","cjs self exports reference"
1006,5433,"./es6.array.iterator","cjs require"
1006,7748,"./modules/es6.array.iterator","cjs require"
9865,7748,"./modules/es6.regexp.constructor","cjs require"
3562,1203,"./es6.regexp.exec","cjs require"
3562,7748,"./modules/es6.regexp.exec","cjs require"
2547,7748,"./modules/es6.regexp.to-string","cjs require"
7970,2547,"./es6.regexp.flags","cjs require"
7970,7748,"./modules/es6.regexp.flags","cjs require"
3309,7748,"./modules/es6.regexp.match","cjs require"
9724,7748,"./modules/es6.regexp.replace","cjs require"
1344,7748,"./modules/es6.regexp.search","cjs require"
8203,7748,"./modules/es6.regexp.split","cjs require"
9475,7748,"./modules/es6.promise","cjs require"
1947,7886,"./es6.map","cjs require"
1947,1947,"","cjs self exports reference"
1947,7748,"./modules/es6.map","cjs require"
6111,6111,"","cjs self exports reference"
6111,333,"./es6.set","cjs require"
6111,7748,"./modules/es6.set","cjs require"
4473,7886,"./es6.weak-map","cjs require"
4473,4473,"","cjs self exports reference"
4473,7748,"./modules/es6.weak-map","cjs require"
1601,7748,"./modules/es6.weak-set","cjs require"
9872,7748,"./modules/es6.typed.array-buffer","cjs require"
5361,7748,"./modules/es6.typed.data-view","cjs require"
7531,7748,"./modules/es6.typed.int8-array","cjs require"
2486,7748,"./modules/es6.typed.uint8-array","cjs require"
1312,7748,"./modules/es6.typed.uint8-clamped-array","cjs require"
3090,7748,"./modules/es6.typed.int16-array","cjs require"
5455,7748,"./modules/es6.typed.uint16-array","cjs require"
2362,7748,"./modules/es6.typed.int32-array","cjs require"
2139,7748,"./modules/es6.typed.uint32-array","cjs require"
6069,7748,"./modules/es6.typed.float32-array","cjs require"
7694,7748,"./modules/es6.typed.float64-array","cjs require"
983,7748,"./modules/es6.reflect.apply","cjs require"
5176,7748,"./modules/es6.reflect.construct","cjs require"
2651,7748,"./modules/es6.reflect.define-property","cjs require"
6366,7748,"./modules/es6.reflect.delete-property","cjs require"
3469,7748,"./modules/es6.reflect.enumerate","cjs require"
7471,7748,"./modules/es6.reflect.get","cjs require"
2686,7748,"./modules/es6.reflect.get-own-property-descriptor","cjs require"
6599,7748,"./modules/es6.reflect.get-prototype-of","cjs require"
7889,7748,"./modules/es6.reflect.has","cjs require"
9506,7748,"./modules/es6.reflect.is-extensible","cjs require"
7486,7748,"./modules/es6.reflect.own-keys","cjs require"
6367,7748,"./modules/es6.reflect.prevent-extensions","cjs require"
5128,7748,"./modules/es6.reflect.set","cjs require"
3685,7748,"./modules/es6.reflect.set-prototype-of","cjs require"
8340,7748,"./modules/es7.array.includes","cjs require"
5660,7748,"./modules/es7.array.flat-map","cjs require"
5720,7748,"./modules/es7.array.flatten","cjs require"
3585,7748,"./modules/es7.string.at","cjs require"
145,7748,"./modules/es7.string.pad-start","cjs require"
621,7748,"./modules/es7.string.pad-end","cjs require"
1500,7748,"./modules/es7.string.trim-left","cjs require"
493,7748,"./modules/es7.string.trim-right","cjs require"
8453,7748,"./modules/es7.string.match-all","cjs require"
9418,7748,"./modules/es7.symbol.async-iterator","cjs require"
9225,7748,"./modules/es7.symbol.observable","cjs require"
2469,7748,"./modules/es7.object.get-own-property-descriptors","cjs require"
6429,7748,"./modules/es7.object.values","cjs require"
8636,7748,"./modules/es7.object.entries","cjs require"
2433,7748,"./modules/es7.object.define-getter","cjs require"
685,7748,"./modules/es7.object.define-setter","cjs require"
2216,7748,"./modules/es7.object.lookup-getter","cjs require"
4887,7748,"./modules/es7.object.lookup-setter","cjs require"
6474,7748,"./modules/es7.map.to-json","cjs require"
5268,7748,"./modules/es7.set.to-json","cjs require"
9811,7748,"./modules/es7.map.of","cjs require"
3183,7748,"./modules/es7.set.of","cjs require"
856,7748,"./modules/es7.weak-map.of","cjs require"
425,7748,"./modules/es7.weak-set.of","cjs require"
8323,7748,"./modules/es7.map.from","cjs require"
3452,7748,"./modules/es7.set.from","cjs require"
792,7748,"./modules/es7.weak-map.from","cjs require"
3315,7748,"./modules/es7.weak-set.from","cjs require"
3799,7748,"./modules/es7.global","cjs require"
9170,7748,"./modules/es7.system.global","cjs require"
1792,7748,"./modules/es7.error.is-error","cjs require"
5136,7748,"./modules/es7.math.clamp","cjs require"
7887,7748,"./modules/es7.math.deg-per-rad","cjs require"
4071,7748,"./modules/es7.math.degrees","cjs require"
1040,7748,"./modules/es7.math.fscale","cjs require"
4620,7748,"./modules/es7.math.iaddh","cjs require"
5515,7748,"./modules/es7.math.isubh","cjs require"
4101,7748,"./modules/es7.math.imulh","cjs require"
2307,7748,"./modules/es7.math.rad-per-deg","cjs require"
7963,7748,"./modules/es7.math.radians","cjs require"
2607,7748,"./modules/es7.math.scale","cjs require"
409,7748,"./modules/es7.math.umulh","cjs require"
9926,7748,"./modules/es7.math.signbit","cjs require"
3457,7748,"./modules/es7.promise.finally","cjs require"
5020,7748,"./modules/es7.promise.try","cjs require"
8831,7748,"./modules/es7.reflect.define-metadata","cjs require"
6319,7748,"./modules/es7.reflect.delete-metadata","cjs require"
2329,7748,"./modules/es7.reflect.get-metadata","cjs require"
333,7748,"./modules/es7.reflect.get-metadata-keys","cjs require"
2616,7748,"./modules/es7.reflect.get-own-metadata","cjs require"
6560,7748,"./modules/es7.reflect.get-own-metadata-keys","cjs require"
5781,7748,"./modules/es7.reflect.has-metadata","cjs require"
86,7748,"./modules/es7.reflect.has-own-metadata","cjs require"
7567,7748,"./modules/es7.reflect.metadata","cjs require"
4018,7748,"./modules/es7.asap","cjs require"
6607,7748,"./modules/es7.observable","cjs require"
4110,7748,"./modules/web.timers","cjs require"
2077,7748,"./modules/web.immediate","cjs require"
5433,7748,"./modules/web.dom.iterable","cjs require"
538,4271,"../../modules/core.regexp.escape","cjs require"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony side effect evaluation"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
"","","@babel/runtime/helpers/defineProperty","harmony import specifier"
