Source,Target,Label
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-client.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-effects.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-effects.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-contact.js","../../../core/hooks/use-fetch-connector.js","../../../core/hooks/use-fetch-connector.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-contact.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-contact.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-effects.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-effects.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-contact.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-contacts-by-organization.js","../../../core/hooks/use-fetch-connector.js","../../../core/hooks/use-fetch-connector.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-contacts-by-organization.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-contacts-by-organization.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-effects.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-effects.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-contacts-by-organization.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-get-effects.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-link-organization.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/helpers.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/helpers.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/use-link-organization.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/defaultData.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/defaultData.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/defaultData.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-already-attached-validation.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-already-attached-validation.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-handle-submit-ref.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-handle-submit-ref.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-update-values.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-update-values.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-already-attached-validation.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-already-attached-validation.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/validation-rules.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/validation-rules.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-already-attached-validation.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-handle-submit-ref.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-handle-submit-ref.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-update-values.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/defaultData.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/defaultData.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/use-update-values.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/validation-rules.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/validation-rules.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/helpers.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/helpers.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/form/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/helpers.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/helpers.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/use-create-contact-modal.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/use-create-contact-modal.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/types.js","types/client-card.types.js","types/client-card.types.js"
